source_url,target_url,status_code,preserve_query_string,subpath_matching
hellomycab.com/jaipur-to-pilani/,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/jaipur-to-pilani,https://www.hellomycabs.com/cab-service-in-jaipur,301,false,false
hellomycab.com/ajmer-to-pushkar-one-way-taxi/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-pushkar-one-way-taxi,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-bhilwara-one-way-taxi/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-bhilwara-one-way-taxi,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-beawar-one-way-taxi/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-beawar-one-way-taxi,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-tonk-one-way-taxi/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-tonk-one-way-taxi,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-niwai-one-way-taxi/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-niwai-one-way-taxi,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-ranthambore-one-way-taxi/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-ranthambore-one-way-taxi,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-bundi-one-way-taxi/,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-bundi-one-way-taxi,https://www.hellomycabs.com/cab-service-in-ajmer,301,false,false
hellomycab.com/ajmer-to-kota-one-way-taxi/,https://www.hellomycabs.com/ajmer-to-kota-cab,301,false,false
